schema_version,sample_id,sample_alert_level,sample_confidence,matched_confidence_p10,matched_confidence_median,all_event_comparison_confidence_p10,match_coverage,n_rows,n_reference_rows,n_matched,n_info,n_green,n_yellow,n_red,n_unavailable,n_review_required,n_ai_miss,n_ai_extra,n_ambiguous,min_confidence
comparison_confidence_v2_1,test3_2,RED,,,,0.0,0.0,704,704,0,0,0,0,684,20,704,684,0,0,0.0
comparison_confidence_v2_1,test3_20,RED,0.7939320335558455,0.800756664216784,0.9078976624336623,0.043760379722843835,0.9914772727272727,944,704,698,0,625,71,248,0,319,6,240,0,0.0
comparison_confidence_v2_1,test3_21,RED,0.8190727611910565,0.8225780654472237,0.9060614846711547,0.061684503181049545,0.9957386363636364,893,704,701,0,654,44,195,0,239,3,189,0,0.0
comparison_confidence_v2_1,test3_22,RED,0.8167907429693664,0.8238118668344326,0.9066148105208031,0.06720061655206162,0.9914772727272727,894,704,698,0,648,47,199,0,246,6,190,0,0.0
comparison_confidence_v2_1,test3_23,RED,0.8289944123995415,0.8349242722879503,0.907073964188129,0.06474138868131346,0.9928977272727273,878,704,699,0,650,48,180,0,228,5,174,0,0.0
comparison_confidence_v2_1,test3_24,RED,0.8293689458660201,0.8329183136799974,0.9090947133832958,0.07269896572858088,0.9957386363636364,882,704,701,0,658,41,183,0,224,3,178,0,0.0
comparison_confidence_v2_1,test3_25,RED,0.8180374066965256,0.8250692468687021,0.9048734915668714,0.07479895748588916,0.9914772727272727,876,704,698,0,644,50,182,0,232,6,172,0,0.0
comparison_confidence_v2_1,test3_26,RED,0.8264929779910821,0.8312157950081741,0.9091684817716736,0.06761467122708105,0.9943181818181818,878,704,700,0,656,43,179,0,222,4,174,0,0.0
comparison_confidence_v2_1,test3_27,RED,0.8353359836679697,0.8389108880203291,0.8998143878114254,0.12859217015209629,0.9957386363636364,820,704,701,0,668,32,120,0,152,3,116,0,0.0
comparison_confidence_v2_1,test3_28,RED,0.840457378596198,0.8440542004732146,0.9039505362743663,0.10645658659222715,0.9957386363636364,824,704,701,0,673,27,124,0,151,3,120,0,0.0
comparison_confidence_v2_1,test3_29,RED,0.845385862206913,0.8514329713786363,0.9018091965206501,0.08784621265598584,0.9928977272727273,836,704,699,0,674,22,140,0,162,5,132,1,0.0
comparison_confidence_v2_1,test3_3,RED,0.6773311480551698,0.7096330806002747,0.8587060338558092,0.025347416993903974,0.9544807965860598,1236,704,671,0,471,183,580,2,765,32,532,3,0.0
comparison_confidence_v2_1,test3_30,RED,0.8436981518737359,0.8485192841701572,0.9014417966993056,0.10616549288788286,0.9943181818181818,830,704,700,0,680,20,130,0,150,4,126,0,0.0
comparison_confidence_v2_1,test3_31,RED,0.8398351436202582,0.8434293025801167,0.8996077669715287,0.12772801910667633,0.9957386363636364,818,704,701,0,672,26,120,0,146,3,114,0,0.0
comparison_confidence_v2_1,test3_32,RED,0.84235536295184,0.8447552357807626,0.8991448584375463,0.12838330492315572,0.9971590909090909,827,704,702,0,673,26,128,0,154,2,123,0,0.0
comparison_confidence_v2_1,test3_33,RED,0.8432864886039395,0.8481052685388192,0.8906963202041795,0.17128826288204033,0.9943181818181818,797,704,700,0,684,16,97,0,113,4,93,0,0.0
comparison_confidence_v2_1,test3_34,RED,0.8397977091755784,0.8433917079309661,0.8878861228008192,0.20073990894722407,0.9957386363636364,791,704,701,0,684,16,91,0,107,3,87,0,0.0
comparison_confidence_v2_1,test3_35,RED,0.8380155918748853,0.8416070872686348,0.8916304870486793,0.21119431474748088,0.9957325746799431,795,704,700,0,685,13,93,4,110,3,91,0,0.0
comparison_confidence_v2_1,test3_36,RED,0.8413934560405026,0.844994283955084,0.8911022891335943,0.17982026226257286,0.9957386363636364,803,704,701,0,684,15,104,0,119,3,99,1,0.0
comparison_confidence_v2_1,test3_37,RED,0.8458474233660722,0.8482572450850638,0.892626779405872,0.2388823591250627,0.9971590909090909,787,704,702,0,684,17,86,0,103,2,83,0,0.0
comparison_confidence_v2_1,test3_38,RED,0.8421864167510723,0.8469989105610785,0.8885083016576234,0.1898744962474108,0.9943181818181818,799,704,700,0,682,18,99,0,117,4,95,0,0.0
comparison_confidence_v2_1,test3_39,RED,0.8320017448301407,0.8343721201715371,0.8822374732437052,0.28961667518396816,0.9971590909090909,781,704,702,0,679,21,81,0,102,2,77,0,0.0
