sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_34,tebuconazole-1,465,2,1,1,0,GREEN,116,plots\test3_34\0116_chrom465_tebuconazole-1_GREEN.png
test3_40,ethoxysulfuron-2,340,1,1,0,0,GREEN,117,plots\test3_40\0117_chrom340_ethoxysulfuron-2_GREEN.png
test3_50,fenoxanil-2,422,1,1,0,0,GREEN,118,plots\test3_50\0118_chrom422_fenoxanil-2_GREEN.png
test3_21,fenamiphos sulfoxide-2,152,1,1,0,0,GREEN,119,plots\test3_21\0119_chrom152_fenamiphos sulfoxide-2_GREEN.png
test3_9,iodosulfuron-methyl-sodium-1,229,1,1,0,0,GREEN,120,plots\test3_9\0120_chrom229_iodosulfuron-methyl-sodium-1_GREEN.png
test3_6,bifenthrin-1,699,4,1,0,3,RED,121,plots\test3_6\0121_chrom699_bifenthrin-1_RED.png
test3_51,fenthion-2,454,1,1,0,0,GREEN,122,plots\test3_51\0122_chrom454_fenthion-2_GREEN.png
test3_3,fenobucarb-2,260,2,1,0,2,RED,123,plots\test3_3\0123_chrom260_fenobucarb-2_RED.png
test3_19,pyriproxyfen-2,628,1,1,0,0,GREEN,124,plots\test3_19\0124_chrom628_pyriproxyfen-2_GREEN.png
test3_3,disulfoton sulfoxide-1,179,2,1,0,1,RED,125,plots\test3_3\0125_chrom179_disulfoton sulfoxide-1_RED.png
test3_37,ethion-2,644,1,1,0,0,GREEN,126,plots\test3_37\0126_chrom644_ethion-2_GREEN.png
test3_23,phosfolan-2,88,1,1,0,0,GREEN,127,plots\test3_23\0127_chrom088_phosfolan-2_GREEN.png
test3_27,metalaxyl-1,223,1,1,0,0,GREEN,128,plots\test3_27\0128_chrom223_metalaxyl-1_GREEN.png
test3_38,fensulfothion oxon-1,85,1,1,0,0,GREEN,129,plots\test3_38\0129_chrom085_fensulfothion oxon-1_GREEN.png
test3_19,aldicarb sulfoxide-1,11,3,1,0,2,RED,130,plots\test3_19\0130_chrom011_aldicarb sulfoxide-1_RED.png
test3_6,dimepiperate-1,543,5,1,0,4,RED,131,plots\test3_6\0131_chrom543_dimepiperate-1_RED.png
test3_50,flufenacet-1,383,1,1,0,0,GREEN,132,plots\test3_50\0132_chrom383_flufenacet-1_GREEN.png
test3_39,buprofezin-2,620,1,1,0,0,GREEN,133,plots\test3_39\0133_chrom620_buprofezin-2_GREEN.png
test3_4,dicrotophos-1,33,1,1,0,0,GREEN,134,plots\test3_4\0134_chrom033_dicrotophos-1_GREEN.png
test3_6,bifenthrin-2,700,4,1,0,3,RED,135,plots\test3_6\0135_chrom700_bifenthrin-2_RED.png
test3_51,Chloridazon-2,72,1,1,0,0,GREEN,136,plots\test3_51\0136_chrom072_Chloridazon-2_GREEN.png
test3_14,trifloxystrobin-1,569,1,1,0,0,GREEN,137,plots\test3_14\0137_chrom569_trifloxystrobin-1_GREEN.png
test3_40,tebufenozide-1,463,2,1,0,1,RED,138,plots\test3_40\0138_chrom463_tebufenozide-1_RED.png
test3_41,Fenoxycarb-1,425,1,1,0,0,GREEN,139,plots\test3_41\0139_chrom425_Fenoxycarb-1_GREEN.png
test3_52,methoxyfenozide-1,367,1,1,0,0,GREEN,140,plots\test3_52\0140_chrom367_methoxyfenozide-1_GREEN.png
test3_54,metazosulfuron-1,241,1,1,0,0,GREEN,141,plots\test3_54\0141_chrom241_metazosulfuron-1_GREEN.png
test3_32,difenoconazole-2,550,1,1,0,0,GREEN,142,plots\test3_32\0142_chrom550_difenoconazole-2_GREEN.png
test3_35,chlorpyrifos-methyl-1,517,1,1,0,0,GREEN,143,plots\test3_35\0143_chrom517_chlorpyrifos-methyl-1_GREEN.png
test3_13,malathion-2,332,1,1,0,0,GREEN,144,plots\test3_13\0144_chrom332_malathion-2_GREEN.png
test3_3,flutriafol-2,194,2,1,0,1,RED,145,plots\test3_3\0145_chrom194_flutriafol-2_RED.png
test3_23,ametryn-1,251,1,1,0,0,GREEN,146,plots\test3_23\0146_chrom251_ametryn-1_GREEN.png
test3_17,spirotetramat-keto-hydroxy-2,240,2,1,1,0,GREEN,147,plots\test3_17\0147_chrom240_spirotetramat-keto-hydroxy-2_GREEN.png
test3_43,trichlorfon-1,59,1,1,0,0,GREEN,148,plots\test3_43\0148_chrom059_trichlorfon-1_GREEN.png
test3_41,procymidone-1,341,1,1,0,0,GREEN,149,plots\test3_41\0149_chrom341_procymidone-1_GREEN.png
test3_35,clethodim sulfone-1,231,1,1,0,1,YELLOW,150,plots\test3_35\0150_chrom231_clethodim sulfone-1_YELLOW.png
test3_54,tau-fluvalinate-2,692,2,1,0,1,RED,151,plots\test3_54\0151_chrom692_tau-fluvalinate-2_RED.png
test3_14,hexaflumuron-1,583,1,1,0,0,GREEN,152,plots\test3_14\0152_chrom583_hexaflumuron-1_GREEN.png
test3_12,iodosulfuron-methyl-sodium-1,229,1,1,0,0,GREEN,153,plots\test3_12\0153_chrom229_iodosulfuron-methyl-sodium-1_GREEN.png
test3_48,ethofumesate-1,281,1,1,0,0,GREEN,154,plots\test3_48\0154_chrom281_ethofumesate-1_GREEN.png
test3_47,pyrametostrobin-2,484,2,1,1,0,GREEN,155,plots\test3_47\0155_chrom484_pyrametostrobin-2_GREEN.png
test3_43,piperonyl butoxide-2,638,1,1,0,0,GREEN,156,plots\test3_43\0156_chrom638_piperonyl butoxide-2_GREEN.png
test3_47,clethodim sulfoxide-1,237,1,1,0,1,YELLOW,157,plots\test3_47\0157_chrom237_clethodim sulfoxide-1_YELLOW.png
test3_31,propyrisulfuron-1,359,1,1,0,0,GREEN,158,plots\test3_31\0158_chrom359_propyrisulfuron-1_GREEN.png
test3_3,pirimicarb-2,168,1,1,0,0,GREEN,159,plots\test3_3\0159_chrom168_pirimicarb-2_GREEN.png
test3_25,spinosad D-2,590,1,1,0,0,GREEN,160,plots\test3_25\0160_chrom590_spinosad D-2_GREEN.png
test3_55,spinosad A-2,556,1,1,0,1,YELLOW,161,plots\test3_55\0161_chrom556_spinosad A-2_YELLOW.png
test3_47,spirotetramat-1,403,1,1,0,0,GREEN,162,plots\test3_47\0162_chrom403_spirotetramat-1_GREEN.png
test3_8,dimepiperate-2,544,3,1,0,3,RED,163,plots\test3_8\0163_chrom544_dimepiperate-2_RED.png
test3_49,diflubenzuron-1,399,2,1,0,2,RED,164,plots\test3_49\0164_chrom399_diflubenzuron-1_RED.png
test3_46,phosphamidon-1,103,1,1,0,0,GREEN,165,plots\test3_46\0165_chrom103_phosphamidon-1_GREEN.png
test3_22,triflusulfuron-methyl-1,353,1,1,0,0,GREEN,166,plots\test3_22\0166_chrom353_triflusulfuron-methyl-1_GREEN.png
test3_53,thiophanate-methyl-1,119,1,1,0,0,GREEN,167,plots\test3_53\0167_chrom119_thiophanate-methyl-1_GREEN.png
test3_10,iprobenfos-1,469,1,1,0,0,GREEN,168,plots\test3_10\0168_chrom469_iprobenfos-1_GREEN.png
test3_21,fluthiacet-methyl-1,459,1,1,0,0,GREEN,169,plots\test3_21\0169_chrom459_fluthiacet-methyl-1_GREEN.png
test3_24,clothianidin-2,42,1,1,0,0,GREEN,170,plots\test3_24\0170_chrom042_clothianidin-2_GREEN.png
test3_21,pyrimethanil-1,257,1,1,0,0,GREEN,171,plots\test3_21\0171_chrom257_pyrimethanil-1_GREEN.png
test3_11,pirimiphos-methyl-1,513,1,1,0,0,GREEN,172,plots\test3_11\0172_chrom513_pirimiphos-methyl-1_GREEN.png
test3_32,iodosulfuron-methyl-sodium-2,230,1,1,0,0,GREEN,173,plots\test3_32\0173_chrom230_iodosulfuron-methyl-sodium-2_GREEN.png
test3_39,quizalofop-ethyl-2,594,1,1,0,0,GREEN,174,plots\test3_39\0174_chrom594_quizalofop-ethyl-2_GREEN.png
test3_13,saflufenacil-1,287,3,1,1,1,RED,175,plots\test3_13\0175_chrom287_saflufenacil-1_RED.png
test3_8,hexaconazole-1,485,1,1,0,0,GREEN,176,plots\test3_8\0176_chrom485_hexaconazole-1_GREEN.png
test3_41,Dimethenamid-P-2,294,1,1,0,0,GREEN,177,plots\test3_41\0177_chrom294_Dimethenamid-P-2_GREEN.png
test3_10,imidaclothiz-1,45,3,1,1,2,RED,178,plots\test3_10\0178_chrom045_imidaclothiz-1_RED.png
test3_24,chlordimeform-1,27,1,1,0,0,GREEN,179,plots\test3_24\0179_chrom027_chlordimeform-1_GREEN.png
test3_41,Proquinazid-1,675,1,1,0,0,GREEN,180,plots\test3_41\0180_chrom675_Proquinazid-1_GREEN.png
test3_51,pyrethrins I-1,677,1,1,0,0,GREEN,181,plots\test3_51\0181_chrom677_pyrethrins I-1_GREEN.png
test3_31,amisulbrom-2,568,2,1,1,0,GREEN,182,plots\test3_31\0182_chrom568_amisulbrom-2_GREEN.png
test3_9,pretilachlor-2,578,1,1,0,0,GREEN,183,plots\test3_9\0183_chrom578_pretilachlor-2_GREEN.png
test3_35,tebufenozide-2,464,1,1,0,0,GREEN,184,plots\test3_35\0184_chrom464_tebufenozide-2_GREEN.png
test3_34,phorate sulfoxide-1,183,1,1,0,0,GREEN,185,plots\test3_34\0185_chrom183_phorate sulfoxide-1_GREEN.png
test3_41,phosmet oxon-1,97,1,1,0,0,GREEN,186,plots\test3_41\0186_chrom097_phosmet oxon-1_GREEN.png
test3_10,chlorimuron-ethyl-2,326,1,1,0,0,GREEN,187,plots\test3_10\0187_chrom326_chlorimuron-ethyl-2_GREEN.png
test3_34,probenazole-2,112,1,1,0,0,GREEN,188,plots\test3_34\0188_chrom112_probenazole-2_GREEN.png
