"sample_id","uid","ai_chrom_index","n_ai_peaks","n_trad_peaks","n_ignored_weak","n_review_required","channel_alert_level","random_order","plot_path","review_filename","source_absolute_path","review_absolute_path"
"test3_23","terbufos-2","596","2","1","0","2","RED","2782","plots\test3_23\2782_chrom596_terbufos-2_RED.png","test3_23_2782_chrom596_terbufos-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_23\2782_chrom596_terbufos-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_23_2782_chrom596_terbufos-2_RED.png"
"test3_14","cymoxanil-1","77","4","1","0","3","RED","2785","plots\test3_14\2785_chrom077_cymoxanil-1_RED.png","test3_14_2785_chrom077_cymoxanil-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_14\2785_chrom077_cymoxanil-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_14_2785_chrom077_cymoxanil-1_RED.png"
"test3_9","metamitron-1","63","5","1","0","4","RED","2791","plots\test3_9\2791_chrom063_metamitron-1_RED.png","test3_9_2791_chrom063_metamitron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_9\2791_chrom063_metamitron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_9_2791_chrom063_metamitron-1_RED.png"
"test3_13","triticonazole-2","374","4","1","1","2","RED","2792","plots\test3_13\2792_chrom374_triticonazole-2_RED.png","test3_13_2792_chrom374_triticonazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_13\2792_chrom374_triticonazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_13_2792_chrom374_triticonazole-2_RED.png"
"test3_4","chlorantraniliprole-1","253","2","1","0","1","RED","2793","plots\test3_4\2793_chrom253_chlorantraniliprole-1_RED.png","test3_4_2793_chrom253_chlorantraniliprole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_4\2793_chrom253_chlorantraniliprole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_4_2793_chrom253_chlorantraniliprole-1_RED.png"
"test3_7","oxadixyl-2","100","1","0","0","1","RED","2794","plots\test3_7\2794_chrom100_oxadixyl-2_RED.png","test3_7_2794_chrom100_oxadixyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_7\2794_chrom100_oxadixyl-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_7_2794_chrom100_oxadixyl-2_RED.png"
"test3_52","pyrisoxazole-2","304","2","1","0","1","RED","2802","plots\test3_52\2802_chrom304_pyrisoxazole-2_RED.png","test3_52_2802_chrom304_pyrisoxazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_52\2802_chrom304_pyrisoxazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_52_2802_chrom304_pyrisoxazole-2_RED.png"
"test3_49","dimethomorph-2","318","2","1","0","1","RED","2810","plots\test3_49\2810_chrom318_dimethomorph-2_RED.png","test3_49_2810_chrom318_dimethomorph-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_49\2810_chrom318_dimethomorph-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_49_2810_chrom318_dimethomorph-2_RED.png"
"test3_15","diflubenzuron-1","399","2","1","0","1","RED","2812","plots\test3_15\2812_chrom399_diflubenzuron-1_RED.png","test3_15_2812_chrom399_diflubenzuron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_15\2812_chrom399_diflubenzuron-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_15_2812_chrom399_diflubenzuron-1_RED.png"
"test3_7","tetraconazole-2","386","3","1","0","3","RED","2813","plots\test3_7\2813_chrom386_tetraconazole-2_RED.png","test3_7_2813_chrom386_tetraconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_7\2813_chrom386_tetraconazole-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_7_2813_chrom386_tetraconazole-2_RED.png"
